F,0.1,0.2,0.3,0.4,0.5
0.2,1.64,1.24,1.05,0.93,0.85
0.5,2.47,1.8,1.48,1.3,1.17
1,2.81,2.08,1.74,1.53,1.39
2,2.9,2.24,1.92,1.72,1.58
5,2.93,2.4,2.14,1.96,1.84
10,2.52,2.18,2,1.88,1.79
