F,0.1,0.2,0.3,0.4,0.5
0.2,0.77,0.77,0.77,0.77,0.77
0.5,0.65,0.65,0.65,0.65,0.65
1,0.63,0.63,0.63,0.63,0.63
2,0.63,0.63,0.63,0.63,0.63
5,0.64,0.64,0.64,0.64,0.64
10,0.64,0.64,0.64,0.64,0.64
