Name,L,P,Mx,My,k,Section
L3-A-1.1,4555,102.36,0,0,1,HSS
L3-A.1-1.1,4555,184.04,0,0,1,HSS
L3-B-1.1,4555,271.04,0,0,1,HSS
L3-C-1.1,4555,275.3,0,0,1,HSS
L3-C.1-1.1,4555,206.71,0,0,1,HSS
L3-D-1.1,4555,75.9,0,0,1,HSS
