F,0.1,0.2,0.3,0.4,0.5
0.2,0.69,0.69,0.69,0.69,0.69
0.5,0.57,0.57,0.57,0.57,0.57
1,0.57,0.57,0.57,0.57,0.57
2,0.58,0.58,0.58,0.58,0.58
5,0.61,0.61,0.61,0.61,0.61
10,0.67,0.67,0.67,0.67,0.67
