Name,L,P,Mx,My,k,Section,Design
L2-A-1.1,3960,292.68,0,0,1,HSS,
L2-A.1-1.1,3960,526.58,0,0,1,HSS,
L2-B-1.1,3960,503.93,0,0,1,HSS,
L2-C-1.1,3960,787.14,0,0,1,HSS,
L2-C.1-1.1,3960,591.01,0,0,1,HSS,
L2-D-1.1,3960,217.01,0,0,1,HSS,
